1;Helado de aguacate; aguacate, leche, crema, azucar, jugo de limon
2;Helado de petalos de rosa; petalos de rosa, leche, crema, azucar, extracto de vainilla
3;Helado de elote; elote, leche, crema, azucar, canela
4;Helado de Jamaica con mezcal; flor de jamaica, mezcal, leche, crema, azucar
5;Helado de gansito; gansito, leche, crema, azucar, extracto de vainilla
6;Helado de queso; queso, leche, crema, azucar, extracto de vainilla
7;Helado de te matcha; te matcha en polvo, leche, crema, azucar
8;Helado de chocolate y chile; chocolate, chile en polvo, leche, crema,azucar
9;Helado de limon y albahaca; limon, albahaca, leche, crema, azucar
10;Helado de mango y chile; mango, chile en polvo, leche, crema, azucar
